ClusterID,StudentID,CourseID,mean_cluster_grade,count
1,333,7422A8,5.0,243
1,333,7422A7,5.0,243
1,333,742261,5.0,206
1,333,742060,5.0,206
1,333,742840,5.0,205
1,333,742067,5.0,205
1,333,742343,5.0,198
1,333,742851,5.0,192
1,336,7422A5,5.0,243
1,336,7417I,5.0,243
1,336,7422A8,5.0,243
1,336,7422A7,5.0,243
1,336,742062,5.0,215
1,336,742841,5.0,212
1,336,742261,5.0,206
1,336,742060,5.0,206
1,336,742343,5.0,198
1,336,742851,5.0,192
1,344,7417I,5.0,243
1,344,7422A8,5.0,243
1,344,7422A7,5.0,243
1,344,7422A5,5.0,243
1,344,742062,5.0,215
1,344,742261,5.0,206
1,344,742840,5.0,205
1,344,742064,5.0,201
1,344,742214,5.0,196
1,344,742271,5.0,194
1,345,7417I,5.0,243
1,345,7422A8,5.0,243
1,345,7422A7,5.0,243
1,345,7422A5,5.0,243
1,345,742062,5.0,215
1,345,742067,5.0,205
1,345,742262,5.0,197
1,345,742270,5.0,197
1,345,742337,5.0,186
1,345,742272,5.0,183
1,349,7417I,5.0,243
1,349,7422A8,5.0,243
1,349,7422A7,5.0,243
1,349,7422A5,5.0,243
1,349,742871,5.0,214
1,349,742841,5.0,212
1,349,742067,5.0,205
1,349,742343,5.0,198
1,349,7420601,5.0,191
1,349,742272,5.0,183
1,352,7417I,5.0,243
1,352,7422A8,5.0,243
1,352,7422A7,5.0,243
1,352,7422A5,5.0,243
1,352,742871,5.0,214
1,352,742841,5.0,212
1,352,742066,5.0,211
1,352,742343,5.0,198
1,352,742270,5.0,197
1,352,7420601,5.0,191
1,353,7422A5,5.0,243
1,353,7417I,5.0,243
1,353,7422A8,5.0,243
1,353,7422A7,5.0,243
1,353,742841,5.0,212
1,353,742066,5.0,211
1,353,742067,5.0,205
1,353,742840,5.0,205
1,353,742343,5.0,198
1,353,742214,5.0,196
1,365,7422A7,5.0,243
1,365,7417I,5.0,243
1,365,7422A8,5.0,243
1,365,7422A5,5.0,243
1,365,742871,5.0,214
1,365,742066,5.0,211
1,365,742840,5.0,205
1,365,742064,5.0,201
1,365,742331,5.0,183
1,365,742272,5.0,183
1,366,7422A5,5.0,243
1,366,7417I,5.0,243
1,366,7422A8,5.0,243
1,366,7422A7,5.0,243
1,366,742871,5.0,214
1,366,742261,5.0,206
1,366,742067,5.0,205
1,366,742064,5.0,201
1,366,742208,5.0,194
1,366,742851,5.0,192
1,376,7417I,5.0,243
1,376,7422A8,5.0,243
1,376,7422A7,5.0,243
1,376,7422A5,5.0,243
1,376,742062,5.0,215
1,376,742066,5.0,211
1,376,742261,5.0,206
1,376,742343,5.0,198
1,376,742851,5.0,192
1,376,742337,5.0,186
1,377,7422A5,5.0,243
1,377,7417I,5.0,243
1,377,7422A8,5.0,243
1,377,7422A7,5.0,243
1,377,742060,5.0,206
1,377,742067,5.0,205
1,377,742262,5.0,197
1,377,742270,5.0,197
1,377,742214,5.0,196
1,377,742208,5.0,194
1,382,7422A5,5.0,243
1,382,7417I,5.0,243
1,382,7422A8,5.0,243
1,382,7422A7,5.0,243
1,382,742062,5.0,215
1,382,742841,5.0,212
1,382,742064,5.0,201
1,382,742271,5.0,194
1,382,742851,5.0,192
1,382,742329,5.0,188
1,386,7417I,5.0,243
1,386,7422A8,5.0,243
