CourseID,StudentID,Grades
742338,410,5.5
742389,410,5.0
742382,410,5.0
74146,410,5.5
742397,410,5.5
742385,410,4.0
742870,410,4.0
7422A5,410,5.25
7422A8,410,5.5
7422A7,410,5.25
7417I,410,4.5
7422AV,410,5.0
742452,410,4.25
742514,410,4.25
742518,410,5.5
742517,410,5.5
742006,347,5.0
742001,347,6.0
742000,347,5.25
742003,347,5.25
742066,347,6.0
7420601,347,5.25
742064,347,4.5
742060,347,5.25
742006,347,5.75
7420AH,347,6.0
742121,347,5.0
7414H,347,5.0
742209,347,4.75
742327,347,5.0
742208,347,5.25
742211,347,4.75
742215,347,5.25
742262,347,4.75
742841,347,5.75
742871,347,5.25
742851,347,5.0
742840,347,4.75
742272,347,5.5
742336,347,5.0
742340,347,5.25
742344,347,4.5
742337,347,5.0
742329,347,5.25
742343,347,5.0
742382,347,5.0
742380,347,4.5
742870,347,4.75
742861,347,4.5
74110,347,5.5
742389,347,5.5
7422A5,347,5.0
7422A8,347,5.25
7422A7,347,5.25
7417I,347,4.25
7422AA,347,4.25
742452,347,4.75
742514,347,4.5
742516,347,5.0
742450,347,5.0
742006,404,5.25
742004,404,5.5
742111,404,4.75
742001,404,5.25
7420601,404,5.25
742067,404,5.25
742066,404,4.0
742064,404,4.75
742062,404,5.75
7421AD,404,5.0
742121,404,5.75
7414H,404,4.75
742327,404,4.0
742209,404,4.5
742205,404,5.5
742214,404,4.75
742206,404,5.25
742841,404,5.0
742840,404,5.25
742271,404,4.25
742871,404,5.25
742261,404,5.75
742851,404,5.5
742342,404,5.0
742338,404,5.0
742343,404,4.5
742340,404,4.25
742337,404,4.25
742329,404,4.5
742383,404,4.5
742397,404,4.5
74146,404,5.0
742380,404,5.0
74110,404,4.25
752254,404,5.25
7422A5,404,4.75
7422A8,404,4.5
7422A7,404,4.5
7417I,404,5.0
7422AU,404,6.0
742452,404,5.0
742481,404,4.0
742515,404,4.5
742517,404,5.25
742004,424,5.25
742111,424,5.0
742002,424,5.5
742006,424,5.25
742066,424,5.5
742064,424,4.75
742067,424,5.5
742060,424,5.0
742007,424,5.75
7421AB,424,4.5
742120,424,5.75
J2M292,424,4.5
742209,424,4.5
742215,424,5.25
742208,424,5.0
742327,424,4.5
742211,424,5.0
742262,424,4.75
742271,424,5.0
742841,424,5.5
742840,424,5.5
742871,424,4.75
742270,424,5.5
742342,424,4.5
742343,424,5.75
742331,424,4.5
742334,424,5.5
742344,424,4.0
742336,424,5.25
